ea_id,latitude,longitude,round,prop_imp,SPEI,prop_female_head,mean_age_head,prop_salaried_head,prop_head_edu_1,prop_head_edu_2,prop_head_edu_3,prop_head_edu_4,prop_head_edu_5,prop_head_edu_6,prop_head_edu_7,total_plot_size,prop_coupon,prop_credit,prop_left_seeds,prop_advice,members_agri_coop,agri_coop,maize_hybrid_sellers,assistant_ag_officer,grid_id
20603533,-14.27490043640137,33.75970077514648,4,.3010653,-.5566761493682861,.33333334,50.666668,.33333334,.33333334,0,0,.33333334,0,.33333334,0,4.2199998,0,.16666667,.33333334,.33333334,0,0,15,1,19
20607260,-13.86740016937256,33.82809829711914,1,.45698926,-1.426175117492676,0,48.75,.75,.5,0,0,.5,0,0,0,9.6599998,0,.42857143,.42857143,.25,0,0,1,1,25
20607260,-13.86740016937256,33.82809829711914,2,.71990401,.4815289974212646,.25,41.75,0,.75,0,.25,0,0,0,0,7.1400003,.11111111,.33333334,.22222222,.75,0,0,5,1,25
20607260,-13.86740016937256,33.82809829711914,3,.10446203,-.4046630859375,.33333334,49.666668,.33333334,.33333334,.66666669,.33333334,0,0,0,0,7.1199999,0,.25,.5,.75,0,0,2,0,25
20607260,-13.86740016937256,33.82809829711914,4,.234375,-.7716943025588989,.5,58,0,.75,0,.25,0,0,0,0,3.8599999,0,.125,.625,0,25,1,2,0,25
20607315,-13.79930019378662,33.8588981628418,1,.76539522,-1.363649249076843,.23076923,44.923077,.30769232,.92307693,0,0,0,0,0,0,31.32,.09375,.0625,.59375,.30769232,0,0,2,1,27
20607315,-13.79930019378662,33.8588981628418,2,.36628708,.5842195153236389,.07692308,51.692307,.23076923,.69230771,.23076923,0,0,0,0,0,23.860001,.081632651,.06122449,.59183675,.69230771,0,0,1,1,27
20607315,-13.79930019378662,33.8588981628418,3,.4025152,-.4617514312267303,.23076923,56.923077,.15384616,.84615386,0,0,0,0,0,0,21.540001,.1,.2,.53333336,.30769232,0,0,0,0,27
20607315,-13.79930019378662,33.8588981628418,4,.37380919,-.8571977615356445,.30769232,53.53846,.23076923,.84615386,0,0,0,0,0,0,24.469999,.022222223,.13333334,.31111112,.15384616,0,0,0,0,27
20610050,-14.10449981689453,34.00180053710938,1,.25399032,-1.647645831108093,0,42.545456,.18181819,.45454547,.18181819,0,.090909094,0,0,0,19.309999,.11538462,.03846154,.38461539,0,0,0,3,1,9
